# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.0500 326.61 0.00 0.0 0.000
1 0.0500 36.98 0.00 0.0 0.000
2 0.0500 16.52 0.00 0.0 0.000
3 0.0500 6.99 8.75 2.56 4.646
4 0.0500 1.70 3.94 1.25 3.576
5 0.0500 1.17 3.55 1.13 3.495
6 0.0500 1.13 3.54 1.1 3.524
0 0.0500 326.82 0.00 0.0 0.000
1 0.0500 38.08 0.00 0.0 0.000
2 0.0500 17.59 0.00 0.0 0.000
3 0.0500 7.47 9.19 2.72 4.683
4 0.0500 1.74 3.95 1.25 3.559
5 0.0500 1.19 3.55 1.12 3.500
6 0.0500 1.13 3.54 1.1 3.532
