# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.1000 33262.54 0.00 0.0 0.000
1 0.1000 27225.27 0.00 0.0 0.000
2 0.1000 26361.58 0.00 0.0 0.000
3 0.1000 29692.24 0.00 0.0 0.000
4 0.1000 27440.45 0.00 0.0 0.000
5 0.1000 25988.76 0.00 0.0 0.000
6 0.1000 524.53 525.34 4.02e+02 403.767
7 0.1000 398.12 399.42 3.94e+02 395.893
8 0.1000 388.85 390.21 3.82e+02 383.762
9 0.1000 377.59 378.94 3.74e+02 375.696
10 0.1000 371.38 372.67 3.67e+02 367.948
11 0.1000 361.89 363.38 3.56e+02 357.353
12 0.1000 353.97 355.41 3.53e+02 353.992
13 0.1000 348.95 350.52 3.45e+02 346.986
14 0.1000 343.22 344.75 3.4e+02 341.748
15 0.1000 337.99 339.53 3.35e+02 336.819
16 0.1000 333.89 335.48 3.32e+02 333.693
17 0.1000 332.10 333.49 3.32e+02 333.224
18 0.1000 330.69 332.08 3.3e+02 330.782
19 0.1000 328.19 329.58 3.26e+02 328.627
20 0.1000 325.86 327.17 3.25e+02 326.054
21 0.1000 324.67 326.19 3.23e+02 324.966
22 0.1000 308.75 310.41 3.03e+02 304.561
23 0.1000 301.07 302.56 2.99e+02 300.819
24 0.1000 298.02 299.43 2.96e+02 297.606
25 0.1000 294.46 295.92 2.92e+02 293.486
26 0.1000 286.75 288.22 2.83e+02 283.754
27 0.1000 279.21 280.71 2.76e+02 277.326
28 0.1000 245.35 247.03 2.35e+02 236.298
29 0.1000 230.94 232.50 2.29e+02 229.935
30 0.1000 224.52 226.08 2.2e+02 221.213
31 0.1000 200.09 201.72 1.88e+02 189.096
32 0.1000 182.67 184.42 1.79e+02 181.221
33 0.1000 178.41 180.22 1.77e+02 179.021
34 0.1000 177.10 178.81 1.78e+02 179.634
35 0.1000 176.26 177.96 1.76e+02 177.293
36 0.1000 175.32 176.93 1.74e+02 176.021
37 0.1000 172.61 174.49 1.71e+02 172.888
38 0.1000 170.00 171.88 1.68e+02 170.367
39 0.1000 164.49 166.30 1.61e+02 162.486
40 0.1000 158.48 160.38 1.57e+02 158.525
41 0.1000 152.77 154.72 1.48e+02 150.108
42 0.1000 148.67 150.44 1.49e+02 150.996
43 0.1000 148.73 150.54 1.45e+02 146.743
44 0.1000 142.57 144.48 1.43e+02 145.300
45 0.1000 144.52 146.45 1.46e+02 147.804
46 0.1000 143.57 145.59 1.39e+02 140.691
47 0.1000 139.60 141.52 1.4e+02 141.218
48 0.1000 139.27 141.30 1.38e+02 139.914
49 0.1000 136.99 139.01 1.37e+02 139.283
50 0.1000 137.44 139.40 1.37e+02 138.730
51 0.1000 135.88 137.83 1.35e+02 137.020
52 0.1000 135.97 137.78 1.37e+02 139.139
53 0.1000 135.92 137.84 1.34e+02 135.700
54 0.1000 135.70 137.58 1.36e+02 138.047
55 0.1000 135.65 137.59 1.32e+02 133.695
56 0.1000 131.67 133.59 1.31e+02 133.582
57 0.1000 131.20 133.16 1.31e+02 132.890
58 0.1000 131.95 133.92 1.3e+02 132.380
59 0.1000 128.70 130.69 1.27e+02 128.708
60 0.1000 123.05 125.21 1.15e+02 117.196
61 0.1000 113.56 115.66 1.14e+02 115.681
62 0.1000 114.20 116.08 1.14e+02 115.468
63 0.1000 112.71 114.66 1.13e+02 114.737
64 0.1000 112.80 114.74 1.08e+02 110.440
65 0.1000 108.64 110.61 1.08e+02 109.980
66 0.1000 108.43 110.37 1.07e+02 109.446
67 0.1000 107.44 109.52 1.08e+02 109.453
68 0.1000 106.33 108.47 1.03e+02 105.093
69 0.1000 104.03 106.03 1.05e+02 106.769
70 0.1000 105.09 106.95 1.06e+02 107.309
71 0.1000 105.16 106.97 1.04e+02 106.139
72 0.1000 102.93 105.02 1.01e+02 102.622
73 0.1000 100.48 102.51 1e+02 102.227
74 0.1000 100.59 102.61 1.01e+02 102.856
75 0.1000 100.28 102.33 99.4 101.517
76 0.1000 96.81 98.98 94.3 96.452
77 0.1000 94.20 96.32 93.9 95.747
78 0.1000 93.53 95.59 92.9 95.035
79 0.1000 91.96 94.01 91.3 93.156
80 0.1000 86.68 88.92 81.0 82.974
81 0.1000 80.31 82.47 80.3 82.037
82 0.1000 80.64 82.67 79.3 81.598
83 0.1000 77.95 80.04 76.0 78.667
84 0.1000 72.93 75.18 69.9 72.075
85 0.1000 70.57 72.61 70.6 72.683
86 0.1000 70.50 72.62 69.8 71.805
87 0.1000 69.06 71.20 69.3 71.221
88 0.1000 69.11 71.17 67.5 69.490
89 0.1000 66.43 68.55 65.3 67.600
90 0.1000 66.55 68.53 67.6 69.723
91 0.1000 69.37 71.32 71.0 73.041
92 0.1000 73.09 75.09 75.1 77.581
93 0.1000 75.70 77.70 77.0 78.725
94 0.1000 77.22 79.16 76.6 78.548
95 0.1000 78.65 80.58 79.8 81.746
96 0.1000 81.08 83.06 81.8 83.788
97 0.1000 82.55 84.53 83.9 86.036
98 0.1000 85.13 87.08 82.0 84.002
99 0.1000 83.03 84.99 84.2 86.483
100 0.1000 85.13 87.10 85.6 87.606
101 0.1000 85.59 87.77 84.6 86.977
102 0.1000 83.28 85.34 81.8 83.842
103 0.1000 82.06 84.12 82.4 84.161
104 0.1000 79.89 81.93 76.7 78.721
105 0.1000 75.30 77.34 73.7 75.575
106 0.1000 74.59 76.64 75.3 77.158
107 0.1000 73.88 76.09 74.1 76.399
108 0.1000 76.11 78.09 77.8 79.281
109 0.1000 78.85 80.79 79.5 81.330
110 0.1000 79.81 81.72 79.5 81.181
111 0.1000 80.29 82.20 81.2 83.074
112 0.1000 78.85 81.04 78.0 80.025
113 0.1000 79.13 81.24 78.9 81.106
114 0.1000 79.85 81.90 80.4 82.625
115 0.1000 80.45 82.57 79.8 82.277
116 0.1000 80.60 82.64 79.5 81.166
117 0.1000 79.62 81.71 80.0 82.251
118 0.1000 76.80 78.98 75.2 76.987
119 0.1000 76.40 78.40 76.3 78.587
120 0.1000 75.34 77.45 75.8 77.383
121 0.1000 76.08 78.07 74.4 76.460
122 0.1000 74.65 76.75 71.8 73.942
123 0.1000 71.73 73.77 71.4 73.391
124 0.1000 71.08 73.11 70.6 72.472
125 0.1000 38.03 40.44 3.5 5.943
126 0.1000 2.72 5.16 2.0 4.407
