# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.0900 37422.02 0.00 7.14e+02 706.707
1 0.0900 29021.44 0.00 7.12e+02 712.872
2 0.0900 27154.23 0.00 6.52e+02 653.155
3 0.0900 23786.15 0.00 6.24e+02 625.641
4 0.0900 31372.36 0.00 6.11e+02 611.943
5 0.0900 24191.23 0.00 6.02e+02 602.970
6 0.0900 601.54 601.44 6.03e+02 603.614
7 0.0900 606.70 606.19 6.09e+02 608.679
8 0.0900 611.51 610.97 6.14e+02 613.103
9 0.0900 615.44 614.72 6.17e+02 616.151
10 0.0900 618.17 617.44 6.19e+02 618.446
11 0.0900 620.16 619.36 6.21e+02 619.948
12 0.0900 619.82 619.66 6.2e+02 618.524
13 0.0900 618.48 617.90 6.16e+02 616.711
14 0.0900 616.26 615.43 6.15e+02 613.895
15 0.0900 612.65 611.97 6.11e+02 609.543
16 0.0900 607.01 606.38 6.04e+02 602.528
17 0.0900 599.69 599.19 5.97e+02 596.659
18 0.0900 595.47 595.06 5.93e+02 592.849
19 0.0900 592.34 591.57 5.91e+02 590.230
20 0.0900 590.03 589.43 5.89e+02 588.782
21 0.0900 588.52 587.62 5.85e+02 587.727
22 0.0900 586.29 585.63 5.86e+02 584.772
23 0.0900 584.95 584.42 5.83e+02 584.095
24 0.0900 583.31 582.78 5.83e+02 582.446
25 0.0900 582.75 582.10 5.82e+02 581.625
26 0.0900 582.36 581.67 5.82e+02 582.259
27 0.0900 528.00 529.59 4.66e+02 468.696
28 0.0900 420.08 421.80 3.89e+02 390.592
29 0.0900 328.96 330.76 2.78e+02 280.285
30 0.0900 250.31 252.06 2.36e+02 237.822
31 0.0900 207.36 209.17 1.95e+02 196.263
32 0.0900 192.42 193.58 1.9e+02 190.612
33 0.0900 187.40 188.45 1.86e+02 187.153
34 0.0900 184.74 185.86 1.84e+02 184.765
35 0.0900 183.39 184.48 1.83e+02 183.580
36 0.0900 181.71 182.77 1.81e+02 182.391
37 0.0900 181.15 182.22 1.8e+02 180.990
38 0.0900 180.83 182.34 1.59e+02 160.839
39 0.0900 134.96 136.78 1.21e+02 122.265
40 0.0900 107.26 108.92 1.03e+02 103.769
